GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Task1,default,Assignment,0,34,0,0,0,4,0,1,0,1
Task1,default,Symbol,0,54,0,0,0,6,0,1,0,1
Task1,default,Literal,0,139,0,18,0,34,0,19,0,10
Task1,default,Clause,0,33,0,0,0,10,0,4,0,4
Task1,default,DPLL,0,599,0,94,0,146,0,58,0,11
Task1,default,Parser,0,176,0,18,0,36,0,12,0,3
Task1,exceptions,SyntaxErrorException,0,4,0,0,0,2,0,1,0,1
